nationID,nationName,Group,url,flag,emojiString,fifaRank,market Value,bestPlayerURL,Confederation,averageAge,WCParticipants,Last 5,5th last,4th last,3rd last,2nd lst,1st last
QAT,Qatar,Group A,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/1024px-Flag_of_Qatar.svg.png,flag-qa,QA,50,€18.60m,-,AFC,26,1,"D
D
W
D
L",D,D,W,D,L
SEN,Senegal,Group A,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/900px-Flag_of_Senegal.svg.png,flag-sn,SN,18,€286.50m,Ismaïla Sarr,CAF,26,3,"W
D
L
D
W",W,D,L,D,W
NED,Netherlands,Group A,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/800px-Flag_of_the_Netherlands.svg.png,flag-nl,NL,8,€472.75m,Daley Blind,UEFA,23,11,"W
W
D
W
W",W,W,D,W,W
ECU,Ecuador,Group A,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/1024px-Flag_of_Ecuador.svg.png,flag-ec,EC,44,€125.80m,Alexander Domínguez,CONMEBOL,28,4,"D
W
D
W
D",D,W,D,W,D
ENG,England,Group B,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/800px-Flag_of_England.png,flag-england,england,5,€1.36bn,Raheem Sterling,UEFA,29,16,"L
L
D
D
L",L,L,D,D,L
USA,USA,Group B,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Flag_of_the_United_States_%28fixed%29.svg/1024px-Flag_of_the_United_States_%28fixed%29.svg.png,flag-us,US,16,€204.40m,DeAndre Yedlin,CONCACAF,25,11,"D
W
D
W
L",D,W,D,W,L
WAL,Wales,Group B,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/700px-Flag_of_Wales.svg.png,falg-wl,wl,19,€130.85m,-,UEFA,27,2,"L
L
D
L
W",L,L,D,L,W
IRN,Iran,Group B,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/630px-Flag_of_Iran.png,flag-ir,IR,20,€68.58m,Ehsan Hajsafi,AFC,27,6,"W
L
W
L
W",W,L,W,L,W
ARG,Argentina,Group C,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/800px-Flag_of_Argentina.png,flag-ar,AR,3,€608.00m,Lionel Messi,CONMEBOL,26,18,"W
W
W
D
W",W,W,W,D,W
MEX,Mexico,Group C,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/800px-Flag_of_Mexico.png,flag-mx,MX,13,€219.30m,Andrés Guardado,CONCACAF,32,17,"D
W
D
L
W",D,W,D,L,W
